PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24,Hole25,Hole26,Hole27,Hole28
Lane,Idlewild,24 short,2023-01-28 15:50,55,5,4,4,3,3,3,3,3,3,4,4,4,6,4,4,3,0,0,0,0,0,0,0,0,0,,,,
Par,Lincoln Ridge Park (Banklick),Main,2023-01-28 11:40,81,,4,4,3,3,3,4,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3,3,5,,,,
Lane,Lincoln Ridge Park (Banklick),Main,2023-01-28 11:40,82,1,4,3,4,3,4,5,4,4,2,5,4,3,3,4,3,2,3,3,3,3,3,2,3,5,,,,
Par,Bradford Park,19 Holes - Shorts,2023-01-08 12:29,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,,,,,,,,
Lane,Bradford Park,19 Holes - Shorts,2023-01-08 12:29,59,1,3,3,2,3,3,3,3,3,3,3,2,3,3,4,4,4,2,3,5,,,,,,,,,
Par,Reedy Creek DGC,Shorts,2023-01-07 14:46,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Lane,Reedy Creek DGC,Shorts,2023-01-07 14:46,50,-4,2,3,3,3,2,3,3,3,2,3,3,2,3,3,4,2,3,3,,,,,,,,,,
Par,Bailey Road Park,21 Hole Layout,2023-01-07 10:02,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,
Lane,Bailey Road Park,21 Hole Layout,2023-01-07 10:02,61,-2,3,3,3,3,2,4,3,2,3,2,3,4,3,3,2,2,3,3,4,3,3,,,,,,,
Par,Valley Park,Short Tees,2023-01-01 13:35,57,,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,,,,,,,,,,
Lane,Valley Park,Short Tees,2023-01-01 13:35,54,-3,3,5,2,4,2,2,3,2,3,3,2,3,2,3,2,4,5,4,,,,,,,,,,
Par,Valley Park,Short Tees,2022-11-26 13:05,58,,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,4,,,,,,,,,,
Lane,Valley Park,Short Tees,2022-11-26 13:05,54,-4,2,4,2,3,3,3,5,3,3,3,2,3,2,3,3,3,3,4,,,,,,,,,,
Par,The SasQuatch,Sasquatch,2022-11-05 13:32,61,,3,3,3,4,3,3,3,4,4,3,3,3,4,3,5,4,3,3,,,,,,,,,,
Lane,The SasQuatch,Sasquatch,2022-11-05 13:32,45,6,3,3,4,5,3,4,4,3,4,4,4,4,0,0,0,0,0,0,,,,,,,,,,
Par,Wood County Veterans Memorial Park,Red Tees,2022-10-30 14:50,59,,3,3,4,3,3,3,3,4,3,4,3,4,4,3,3,3,3,3,,,,,,,,,,
Lane,Wood County Veterans Memorial Park,Red Tees,2022-10-30 14:50,55,-4,4,3,5,2,2,3,2,3,3,4,3,4,4,2,2,3,3,3,,,,,,,,,,
Par,Rotary Park (Yellow)Indian Rock,Main,2022-10-29 17:50,57,,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Lane,Rotary Park (Yellow)Indian Rock,Main,2022-10-29 17:50,38,5,5,5,5,3,4,3,3,3,4,3,0,0,0,0,0,0,0,0,,,,,,,,,,
Par,Rotary Park (Red),Main,2022-10-29 13:14,58,,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,,,,,,,,,
Lane,Rotary Park (Red),Main,2022-10-29 13:14,61,3,3,2,4,3,3,4,4,3,2,4,2,3,4,3,4,3,3,4,3,,,,,,,,,
Par,Valley Park,Short Tees,2022-10-23 12:19,58,,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,4,,,,,,,,,,
Lane,Valley Park,Short Tees,2022-10-23 12:19,60,2,2,6,3,3,3,3,3,3,3,4,4,2,2,5,5,4,2,3,,,,,,,,,,
Donna Adams,Valley Park,Short Tees,2022-10-23 12:19,75,17,3,7,3,4,6,3,7,3,4,4,4,4,2,7,3,3,3,5,,,,,,,,,,
John Weber,Valley Park,Short Tees,2022-10-23 12:19,81,23,5,6,5,3,6,3,4,3,4,5,3,7,4,6,4,3,4,6,,,,,,,,,,
Lianne,Valley Park,Short Tees,2022-10-23 12:19,80,22,6,7,4,3,5,5,5,2,3,3,5,6,4,5,3,4,5,5,,,,,,,,,,
Par,Cedar Lakes Disc Golf,24 Hole Short Tees,2022-10-21 16:20,76,,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,,,,
Lane,Cedar Lakes Disc Golf,24 Hole Short Tees,2022-10-21 16:20,59,6,4,3,4,3,3,3,3,4,3,3,4,3,3,4,4,4,4,0,0,0,0,0,0,0,,,,
Par,Whitehall Community Park,Full 18 Holes,2022-10-15 17:29,58,,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,3,3,,,,,,,,,,
Lane,Whitehall Community Park,Full 18 Holes,2022-10-15 17:29,51,-7,3,3,3,2,2,2,3,3,2,3,4,3,3,3,3,3,3,3,,,,,,,,,,
Lianne,Whitehall Community Park,Full 18 Holes,2022-10-15 17:29,62,4,4,4,4,2,3,2,4,3,3,4,4,4,4,3,3,5,3,3,,,,,,,,,,
Par,Alum Creek State Park DGC,Red Tees ,2022-10-15 14:45,57,,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,,,,,,,,,,
Lane,Alum Creek State Park DGC,Red Tees ,2022-10-15 14:45,54,-3,2,3,4,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,,,,,,,,,,
Lianne,Alum Creek State Park DGC,Red Tees ,2022-10-15 14:45,70,13,4,4,6,4,4,6,4,4,2,4,3,3,4,4,4,3,4,3,,,,,,,,,,
Par,Blendon Woods DGC,Main,2022-10-15 10:55,63,,4,3,4,3,3,4,3,3,3,4,4,4,3,3,3,4,4,4,,,,,,,,,,
Lane,Blendon Woods DGC,Main,2022-10-15 10:55,45,-18,2,3,3,3,2,3,2,2,3,2,3,3,2,2,2,3,3,2,,,,,,,,,,
Lianne,Blendon Woods DGC,Main,2022-10-15 10:55,58,-5,2,3,4,3,3,4,3,3,3,3,4,3,3,3,4,3,3,4,,,,,,,,,,
Par,Redeemer - White,Steven Koepsel,2022-10-05 17:33,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Lane,Redeemer - White,Steven Koepsel,2022-10-05 17:33,34,1,3,3,2,2,2,3,6,3,4,3,3,0,0,0,0,0,0,0,,,,,,,,,,
Lianne,Redeemer - White,Steven Koepsel,2022-10-05 17:33,44,11,3,5,5,4,4,4,6,3,4,3,3,0,0,0,0,0,0,0,,,,,,,,,,
Par,Little Creek Park,Main,2022-10-02 16:25,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Lane,Little Creek Park,Main,2022-10-02 16:25,52,-2,2,3,3,3,3,3,3,3,3,3,2,2,3,4,2,4,2,4,,,,,,,,,,
Lianne,Little Creek Park,Main,2022-10-02 16:25,69,15,4,4,3,3,3,4,4,4,4,4,5,3,4,4,3,6,4,3,,,,,,,,,,
Par,Redeemer - White,Steven Koepsel,2022-09-30 18:00,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Lane,Redeemer - White,Steven Koepsel,2022-09-30 18:00,33,3,3,4,5,3,3,3,4,0,0,0,0,0,0,0,0,2,2,4,,,,,,,,,,
Lianne,Redeemer - White,Steven Koepsel,2022-09-30 18:00,38,8,3,5,5,3,3,4,4,0,0,0,0,0,0,0,0,4,4,3,,,,,,,,,,
Par,Ohio University,Main,2022-09-25 17:55,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
Lane,Ohio University,Main,2022-09-25 17:55,29,2,3,3,3,3,4,3,3,3,4,,,,,,,,,,,,,,,,,,,
Lianne,Ohio University,Main,2022-09-25 17:55,30,3,3,3,3,4,3,3,4,3,4,,,,,,,,,,,,,,,,,,,
Par,Karmageddon,Reds plus bonus,2022-09-25 16:41,39,,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Lane,Karmageddon,Reds plus bonus,2022-09-25 16:41,32,-4,2,3,2,3,5,2,2,0,4,2,2,3,2,,,,,,,,,,,,,,,
Lianne,Karmageddon,Reds plus bonus,2022-09-25 16:41,37,1,2,3,2,3,4,4,3,0,4,3,3,3,3,,,,,,,,,,,,,,,
Par,Karmageddon,Main,2022-09-25 15:36,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
Lane,Karmageddon,Main,2022-09-25 15:36,23,-4,2,3,2,3,2,3,3,3,2,,,,,,,,,,,,,,,,,,,
Lianne,Karmageddon,Main,2022-09-25 15:36,38,11,3,5,5,4,6,5,4,3,3,,,,,,,,,,,,,,,,,,,
